Q9UKV3	ACIN1
Q9UQR0	SCML2
A0A3Q0	SEPT10
Q8NC51	SERBP1
A2VDN6	SF3A1
Q12874	SF3A3
O75533	SF3B1
Q13435	SF3B2
A0JN52	SF3B3
P23246	SFPQ
Q96ST3	SIN3A
O75182	SIN3B
Q9UBX3	SLC25A10
Q2YDD9	SLC25A31
O95528	SLC2A10
P28370	SMARCA1
A7Z019	SMARCA4
O60264	SMARCA5
Q92922	SMARCC1
Q8TAQ2	SMARCC2
O97593	SMC1A
Q9C5Y4	SMC2-1
P09661	SNRPA1
Q3ZC10	SNRPD1
Q1JQE0	SNW1
P85986	SPTBN1
Q05519	SRSF11
Q9LGR0	SSRP1-A
Q08E27	STRBP
Q8IX01	SUGP2
O60506	SYNCRIP
O14776	TCERG1
Q13428	TCOF1
Q29RR5	TFIP11
B0KWH8	THOC2
P42166	TMPO
O42130	TOP2A
O42131	TOP2B
Q0P5K4	TOX4
Q12888	TP53BP1
Q00451	TPRP-F1
Q14258	TRIM25
A5D7S3	TRMT1L
Q2NL82	TSR1
Q8WZ42	TTN
P68362	TUBA1A
P68361	TUBA1B
Q3ZCJ7	TUBA1C
P0DPH7	TUBA3C
P81948	TUBA4A
Q2HJB8	TUBA8
A6NHL2	TUBAL3
P33630	TUBB1
P33630	TUBB1
P29514	TUBB6
A6NNZ2	TUBB8B
P26368	U2AF2
O15042	U2SURP
P63048	UBA52
P0CG53	UBB
Q9GP40	UBCRBP
Q9P275	USP36
P26640	VARS1
Q9FJX3	VDAC2
Q8NA23	WDR31
Q8NI36	WDR36
Q5ZMV7	WDR82
Q96S55	WRNIP1
O93257	XRCC6
Q9FQ02	XRN2
Q86T24	ZBTB33
Q86WB0	ZC3HC1
Q9UPR6	ZFR2
Q9UBW7	ZMYM2
Q5VUA4	ZNF318
Q9UL40	ZNF346
Q14966	ZNF638
