interactor_sp_ID	interactor_name	Ob_ID	baseMean	log2FoldChange	lfcSE	pvalue	padj
P51116	FXR2	Ocbimv22004945m	NA	NA	NA	NA	NA
Q9LSV0	GLYR1	Ocbimv22024900m	NA	NA	NA	NA	NA
Q4R7Y4	GNB2L1	Ocbimv22011911m	68024.4290707121	0.667249924004371	0.168992031295066	9.96560825138982e-06	0.000444233124849078
F4K2K3	GNL2	Ocbimv22000542m	9193.23448467704	-0.177600937943174	0.108926821440363	0.0694925022833919	0.289726645527551
Q2KJF9	GTF2E2	Ocbimv22005117m	6098.19538035781	-0.274359854219347	0.154964778818608	0.0294610164173552	0.171190589013285
Q2T9L9	GTF2F2	Ocbimv22012018m	6329.98845131955	0.429493671652633	0.136420134949193	0.000351983181179102	0.00712475568388144
Q9UHL9	GTF2IRD1	NA	NA	NA	NA	NA	NA
Q9UKN8	GTF3C4	Ocbimv22015737m	3903.52636847603	0.0174921645872816	0.14324901140837	0.882480644013809	0.959795092294413
P40939	HADHA	Ocbimv22019821m	19571.4796891667	-0.0845691986186912	0.155361298307225	0.47625361982579	0.757479758222441
P51610	HCFC1	NA	NA	NA	NA	NA	NA
P56519	HDAC2	Ocbimv22039658m	3231.21483999361	0.12362541490775	0.177921570638397	0.34417720559162	0.662119747575777
P81021	HDLBP	Ocbimv22021537m	8382.54922267512	0.0429390176441418	0.197034212706799	0.702449538564362	0.884032592833722
Q32P51	HNRNPA1L2	Ocbimv22024802m	12938.9459098609	-0.03322745246889	0.175714056536729	0.779157492684062	0.919625505963365
Q32P51	HNRNPA1L2	Ocbimv22024802m	12938.9459098609	-0.03322745246889	0.175714056536729	0.779157492684062	0.919625505963365
Q32P51	HNRNPA1L2	Ocbimv22024802m	12938.9459098609	-0.03322745246889	0.175714056536729	0.779157492684062	0.919625505963365
Q32P51	HNRNPA1L2	Ocbimv22024802m	12938.9459098609	-0.03322745246889	0.175714056536729	0.779157492684062	0.919625505963365
Q99729	HNRNPAB	Ocbimv22008539m	NA	NA	NA	NA	NA
Q5ZI72	HNRNPDL	Ocbimv22008539m	NA	NA	NA	NA	NA
Q5ZI72	HNRNPDL	Ocbimv22008539m	NA	NA	NA	NA	NA
Q5ZI72	HNRNPDL	Ocbimv22008539m	NA	NA	NA	NA	NA
Q5ZI72	HNRNPDL	Ocbimv22008539m	NA	NA	NA	NA	NA
P31943	HNRNPH1	NA	NA	NA	NA	NA	NA
Q3SZF3	HNRNPH2	NA	NA	NA	NA	NA	NA
Q3T0D0	HNRNPK	NA	NA	NA	NA	NA	NA
Q8WVV9	HNRNPLL	NA	NA	NA	NA	NA	NA
P52272	HNRNPM	NA	NA	NA	NA	NA	NA
O43390	HNRNPR	Ocbimv22039152m	NA	NA	NA	NA	NA
Q0VCX2	HSPA5	Ocbimv22003270m	32178.2845854122	0.526009767021884	0.313145873650508	0.00925841350428394	0.0801363968866196
P19120	HSPA8	Ocbimv22026555m	445546.638145028	0.0564392054197521	0.13003389911533	0.609553393402414	0.836930957210643
Q3ZCH0	HSPA9	Ocbimv22023573m	50681.9876542806	0.467757791579806	0.165045781440834	0.000749346174253096	0.0127452085587098
P41252	IARS1	Ocbimv22002889m	23763.7839666737	0.147072524364435	0.213296868697831	0.264982535458175	0.588277907397587
Q12905	ILF2	Ocbimv22032461m	20534.4184539892	0.637731999972072	0.178534620107135	4.52812736353999e-05	0.00142441660888526
Q12905	ILF2	Ocbimv22032461m	20534.4184539892	0.637731999972072	0.178534620107135	4.52812736353999e-05	0.00142441660888526
Q12906	ILF3	NA	NA	NA	NA	NA	NA
Q5ZLS8	INTS10	Ocbimv22012304m	1585.09742118038	0.367413413386612	0.126567531273646	0.00103473195804246	0.0162025702886149
O60341	KDM1A	Ocbimv22009138m	5574.69685788031	-0.121408207176875	0.13035133649028	0.270190832596043	0.593952533761494
Q8UVD9	KHSRP	NA	NA	NA	NA	NA	NA
O95239	KIF4A	Ocbimv22002108m	272.571047337178	0.0794630208633339	0.247358800428014	0.299222260079625	0.622284383303861
A5D7J3	KNOP1	NA	NA	NA	NA	NA	NA
Q86SY8	KTN1-AS1	NA	NA	NA	NA	NA	NA
Q9Y4W2	LAS1L	NA	NA	NA	NA	NA	NA
Q9UHB6	LIMA1	NA	NA	NA	NA	NA	NA
P13648	LMNA	Ocbimv22014068m	22710.4460296214	0.0811723395821594	0.220355452577472	0.471259729462582	0.75417058678798
Q0WVF5	MCM4	NA	NA	NA	NA	NA	NA
P43299	MCM7	Ocbimv22030806m	1244.73996099644	0.201931052322474	0.320080435546739	0.0869511858236697	0.329387416320335
Q6GKV1	MDC12.19	NA	NA	NA	NA	NA	NA
P0DP75	MED14OS	NA	NA	NA	NA	NA	NA
P46013	MKI67	NA	NA	NA	NA	NA	NA
Q7YR75	MRPL12	Ocbimv22029673m	3243.51907301284	0.547107385764059	0.261909788855757	0.00414977425469963	0.0455974221747895
O04716	MSH6	Ocbimv22003462m	4095.55339121375	-0.0671152537657784	0.16436291870891	0.581160723477636	0.819875520408266
Q38S50	MT-CO2	NA	NA	NA	NA	NA	NA
Q13330	MTA1	Ocbimv22017020m	NA	NA	NA	NA	NA
Q84X53	MTERF1	NA	NA	NA	NA	NA	NA
Q9BQG0	MYBBP1A	NA	NA	NA	NA	NA	NA
Q258K2	MYH9	NA	NA	NA	NA	NA	NA
O04472	NAT10	Ocbimv22007052m	261.191836835149	-0.0197616022689927	0.204857836006173	0.855364541575528	0.949935729949948
Q9DE07	NBN	NA	NA	NA	NA	NA	NA
Q5QNI2	NCL1	NA	NA	NA	NA	NA	NA
Q9H6R4	NOL6	Ocbimv22017647m	NA	NA	NA	NA	NA
Q76FK4	NOL8	NA	NA	NA	NA	NA	NA
Q15233	NONO	NA	NA	NA	NA	NA	NA
Q3T160	NPM1	NA	NA	NA	NA	NA	NA
O75607	NPM3	NA	NA	NA	NA	NA	NA
Q14980	NUMA1	NA	NA	NA	NA	NA	NA
P49790	NUP153	NA	NA	NA	NA	NA	NA
P0CB38	PABPC4L	Ocbimv22025575m	81892.5756247351	0.122652393732723	0.129244418653085	0.264689190931796	0.587855837651188
Q53GL7	PARP10	NA	NA	NA	NA	NA	NA
Q90941	PBRM1	NA	NA	NA	NA	NA	NA
Q5E9A3	PCBP1	Ocbimv22017272m	803.602849317838	0.0322803879915191	0.216513936643305	0.753253199949573	0.907037956016787
Q9ZVN2	PES1	NA	NA	NA	NA	NA	NA
O94880	PHF14	NA	NA	NA	NA	NA	NA
Q8CHJ0	PIGU	Ocbimv22036244m	4000.78144754546	-0.0318303517373677	0.168750124953573	0.814886379557985	0.934008120405726
Q9JI55	PLEC	NA	NA	NA	NA	NA	NA
Q7Z3K3	POGZ	NA	NA	NA	NA	NA	NA
Q9LVN7	POLD1	Ocbimv22008897m	1609.67425134653	0.0519130173166807	0.198056273379649	0.666068294801912	0.867262658595614
Q8H2D5	POLH	Ocbimv22036851m	18.5693306196124	0.930448284757801	0.510432093325632	0.00296382330941623	0.0356328088290574
Q6S8J3	POTEE	NA	NA	NA	NA	NA	NA
A5A3E0	POTEF	NA	NA	NA	NA	NA	NA
P0CG38	POTEI	NA	NA	NA	NA	NA	NA
P0CG39	POTEJ	NA	NA	NA	NA	NA	NA
Q9BYX7	POTEKP	Ocbimv22013417m	651499.887470597	-0.0121790809405839	0.225298954904691	0.875689228832985	0.957468987962328
Q9Y536	PPIAL4A	Ocbimv22036306m	4410.02919787487	0.141978032621825	0.118497603924627	0.169849141879136	0.470789119489545
Q0P5I6	PRPF38A	NA	NA	NA	NA	NA	NA
Q1LZD9	PSPC1	NA	NA	NA	NA	NA	NA
O43586	PSTPIP1	NA	NA	NA	NA	NA	NA
Q8WN55	PTBP1	Ocbimv22004193m	41172.128667389	-0.0142823930502962	0.127805062025408	0.894927125056754	0.965350222362795
Q2HJG2	PUF60	NA	NA	NA	NA	NA	NA
Q1KME6	RAB6A	Ocbimv22028250m	22783.5073928001	-0.224104571661414	0.201208261401917	0.113595693025829	0.383922278347066
A6QR46	RAB6B	Ocbimv22028250m	22783.5073928001	-0.224104571661414	0.201208261401917	0.113595693025829	0.383922278347066
Q3SWX9	RAD21	Ocbimv22025026m	5321.38607593048	-0.108073256552596	0.215388908289165	0.369935171060818	0.683325317048653
Q9SL02	RAD50	NA	NA	NA	NA	NA	NA
Q9S7J8	RAN1	Ocbimv22034798m	6342.99723636695	-0.0926097177165719	0.226266852940582	0.402960436561521	0.706539156058934
P48820	RANBP2	NA	NA	NA	NA	NA	NA
P0DW28	RBM10	NA	NA	NA	NA	NA	NA
Q5EA36	RBM14	NA	NA	NA	NA	NA	NA
Q8VY15	RBM25	NA	NA	NA	NA	NA	NA
Q5T8P6	RBM26	Ocbimv22026396m	541.508451166501	0.00130881325960641	0.180726482935858	0.991994732962003	0.997375031022695
Q9C587	RFC1	Ocbimv22037545m	3635.58990128197	0.029919833873939	0.139509742348339	0.795062597278418	0.92620988178176
P0DJD0	RGPD1	NA	NA	NA	NA	NA	NA
P0DJD1	RGPD2	NA	NA	NA	NA	NA	NA
Q9MAP3	RPL11	Ocbimv22026737m	1346.6772484056	0.307492539864778	0.191307645539171	0.0322228850903269	0.181483662393963
P25873	RPL15	NA	NA	NA	NA	NA	NA
Q8L7K0	RPL18AA	Ocbimv22030855m	28184.9878587443	0.00625764768082053	0.143928023063822	0.967098502050298	0.989046520517183
P51412	RPL21	NA	NA	NA	NA	NA	NA
Q9SRX7	RPL22A	Ocbimv22031334m	29892.0455949916	0.176644163649779	0.149531035894875	0.145303673742377	0.43497208769669
O22795	RPL28	NA	NA	NA	NA	NA	NA
Q9LMK0	RPL35AA	Ocbimv22030932m	21574.5911625267	0.47718427272031	0.16959842613892	0.000761376058656342	0.0128739676434191
O50061	RPL4	NA	NA	NA	NA	NA	NA
P46286	RPL8A	Ocbimv22018298m	61892.6257259224	0.179330504539374	0.145076409894671	0.126577115563725	0.405265996548258
Q5VT52	RPRD2	NA	NA	NA	NA	NA	NA
Q9SIH0	RPS14A	Ocbimv22037676m	32754.6580002791	0.158984369130361	0.155279364841463	0.161178592452052	0.458209652831972
P59271	RPS27AA	Ocbimv22028797m	41216.6858921418	0.106496162792168	0.131899245167794	0.329000569015758	0.649280252896745
Q9C514	RPS7A	Ocbimv22021666m	56229.1588275502	0.293454359933194	0.174010025615621	0.0309367582010642	0.176513030536804
Q8L6Z4	RPS9M	NA	NA	NA	NA	NA	NA
Q28298	RRBP1	NA	NA	NA	NA	NA	NA
Q2TBU9	RUVBL2	Ocbimv22020070m	4795.40114956056	0.144391219360446	0.185925365942262	0.269748067554146	0.593675802635423
Q15020	SART3	NA	NA	NA	NA	NA	NA
Q9UQR0	SCML2	Ocbimv22035976m	NA	NA	NA	NA	NA
A0A3Q0	SEPT10	NA	NA	NA	NA	NA	NA
Q8NC51	SERBP1	NA	NA	NA	NA	NA	NA
A2VDN6	SF3A1	NA	NA	NA	NA	NA	NA
Q12874	SF3A3	Ocbimv22010624m	3371.95330182022	0.0296124877616158	0.151162891275873	0.80468032888763	0.930331264452277
O75533	SF3B1	Ocbimv22029080m	28392.3394907734	-0.121381927118035	0.156845110092234	0.353640743748053	0.670477734377066
Q13435	SF3B2	NA	NA	NA	NA	NA	NA
A0JN52	SF3B3	Ocbimv22001692m	6999.2629815767	1.01708680625273	0.121586671859063	4.68666577628195e-18	6.61218241046739e-15
P23246	SFPQ	NA	NA	NA	NA	NA	NA
Q96ST3	SIN3A	Ocbimv22011842m	15683.7126422813	0.0788274678514651	0.147679541947981	0.496799013996987	0.770144916929622
O75182	SIN3B	Ocbimv22011842m	15683.7126422813	0.0788274678514651	0.147679541947981	0.496799013996987	0.770144916929622
Q9UBX3	SLC25A10	Ocbimv22003024m	431.958506754656	-3.91538750271298e-05	0.184420762438766	0.99748901096928	0.999366120668945
Q2YDD9	SLC25A31	Ocbimv22014181m	213093.305231516	0.244547085200823	0.190338369583292	0.0790162529514909	0.312380668047242
O95528	SLC2A10	NA	NA	NA	NA	NA	NA
P28370	SMARCA1	Ocbimv22035362m	NA	NA	NA	NA	NA
A7Z019	SMARCA4	Ocbimv22009653m	NA	NA	NA	NA	NA
O60264	SMARCA5	Ocbimv22035362m	NA	NA	NA	NA	NA
Q92922	SMARCC1	NA	NA	NA	NA	NA	NA
Q8TAQ2	SMARCC2	NA	NA	NA	NA	NA	NA
O97593	SMC1A	Ocbimv22009928m	4260.62677193427	0.0164840671172744	0.151254676558992	0.891135284807298	0.963152643366186
Q9C5Y4	SMC2-1	Ocbimv22032126m	2289.82415122166	0.0487361744161253	0.196683567736335	0.683094745500605	0.876389616221629
P09661	SNRPA1	Ocbimv22033472m	813.217139114696	0.099935893882835	0.214435305071239	0.409575507621802	0.711616029309479
Q3ZC10	SNRPD1	NA	NA	NA	NA	NA	NA
Q1JQE0	SNW1	Ocbimv22001219m	3513.67041366722	-0.193601572983325	0.187094359767142	0.149967062345583	0.442399261900131
P85986	SPTBN1	NA	NA	NA	NA	NA	NA
Q05519	SRSF11	NA	NA	NA	NA	NA	NA
Q9LGR0	SSRP1-A	Ocbimv22006454m	9946.84636091007	-0.155875516566113	0.171265802835986	0.228320930304972	0.546909391116334
Q08E27	STRBP	Ocbimv22015212m	18051.7439723468	0.0291140565955299	0.145556113327892	0.785424329685717	0.922545823200345
Q8IX01	SUGP2	NA	NA	NA	NA	NA	NA
O60506	SYNCRIP	Ocbimv22039152m	NA	NA	NA	NA	NA
O14776	TCERG1	Ocbimv22023294m	NA	NA	NA	NA	NA
Q13428	TCOF1	NA	NA	NA	NA	NA	NA
Q29RR5	TFIP11	Ocbimv22029105m	3916.51704775801	0.0253007385341373	0.130975520599913	0.826280784618935	0.938160506180286
B0KWH8	THOC2	Ocbimv22039291m	5180.13229613361	0.026397942059319	0.112886264692738	0.753733894567429	0.907342547056704
P42166	TMPO	NA	NA	NA	NA	NA	NA
O42130	TOP2A	Ocbimv22023035m	10239.3190653	-0.0910167975875913	0.156020100078087	0.45121392970864	0.74145688828423
O42131	TOP2B	Ocbimv22023035m	10239.3190653	-0.0910167975875913	0.156020100078087	0.45121392970864	0.74145688828423
Q0P5K4	TOX4	NA	NA	NA	NA	NA	NA
Q12888	TP53BP1	NA	NA	NA	NA	NA	NA
Q00451	TPRP-F1	NA	NA	NA	NA	NA	NA
Q14258	TRIM25	NA	NA	NA	NA	NA	NA
A5D7S3	TRMT1L	NA	NA	NA	NA	NA	NA
Q2NL82	TSR1	NA	NA	NA	NA	NA	NA
Q8WZ42	TTN	NA	NA	NA	NA	NA	NA
P68362	TUBA1A	Ocbimv22035660m	567.533262210348	-0.015032546301295	0.201391209824495	0.89103613346821	0.963152643366186
P68361	TUBA1B	Ocbimv22035660m	567.533262210348	-0.015032546301295	0.201391209824495	0.89103613346821	0.963152643366186
Q3ZCJ7	TUBA1C	Ocbimv22035660m	567.533262210348	-0.015032546301295	0.201391209824495	0.89103613346821	0.963152643366186
P0DPH7	TUBA3C	Ocbimv22035660m	567.533262210348	-0.015032546301295	0.201391209824495	0.89103613346821	0.963152643366186
P81948	TUBA4A	Ocbimv22010928m	327268.842176384	1.07805882056635	0.176017765239581	1.1558393977444e-10	3.04806731646297e-08
Q2HJB8	TUBA8	Ocbimv22026381m	26.0647778873499	1.06220988349643	0.262253850987963	3.5729330634111e-06	0.000194628286197434
A6NHL2	TUBAL3	Ocbimv22000366m	136530.714357656	0.0712729779786296	0.197625976867279	0.560004115814739	0.808080971479038
P33630	TUBB1	Ocbimv22032594m	578579.065500667	0.39585125322894	0.167030307089056	0.0104208663226575	0.086764704935505
P33630	TUBB1	Ocbimv22032594m	578579.065500667	0.39585125322894	0.167030307089056	0.0104208663226575	0.086764704935505
P33630	TUBB1	Ocbimv22032594m	578579.065500667	0.39585125322894	0.167030307089056	0.0104208663226575	0.086764704935505
P33630	TUBB1	Ocbimv22032594m	578579.065500667	0.39585125322894	0.167030307089056	0.0104208663226575	0.086764704935505
P29514	TUBB6	Ocbimv22032594m	578579.065500667	0.39585125322894	0.167030307089056	0.0104208663226575	0.086764704935505
A6NNZ2	TUBB8B	Ocbimv22029847m	369655.884149945	0.19529087320361	0.248247489516316	0.15910778057191	0.45566118568418
P26368	U2AF2	Ocbimv22002760m	8763.50803612449	0.393916231412509	0.115724001700724	0.000174063838601534	0.00413083207217786
O15042	U2SURP	NA	NA	NA	NA	NA	NA
P63048	UBA52	Ocbimv22007451m	27037.3282136352	0.0410922745122343	0.143758338907351	0.722195606014415	0.894329807662532
P0CG53	UBB	Ocbimv22023116m	379317.246822634	-0.180598859784715	0.136512111153172	0.113298883260575	0.383695942026362
Q9GP40	UBCRBP	Ocbimv22026693m	12039.5172250571	-0.156946891275534	0.156557969239716	0.201417180240543	0.512340086076572
Q9P275	USP36	NA	NA	NA	NA	NA	NA
P26640	VARS1	Ocbimv22000363m	17625.6035523689	0.0804612972367101	0.13126455358105	0.471991536391459	0.754501011171531
Q9FJX3	VDAC2	NA	NA	NA	NA	NA	NA
Q8NA23	WDR31	Ocbimv22002947m	803.679963365432	0.0976245537818624	0.174507070832256	0.437372681258119	0.731728147756312
Q8NI36	WDR36	Ocbimv22005121m	2719.70275605052	0.716791685151939	0.226506339661048	0.000138772092119934	0.00341389025575256
Q8NI36	WDR36	Ocbimv22005121m	2719.70275605052	0.716791685151939	0.226506339661048	0.000138772092119934	0.00341389025575256
Q5ZMV7	WDR82	Ocbimv22032676m	3964.39213517658	-0.567278101261309	0.183619087293688	0.000253147728908213	0.00552014641932229
Q96S55	WRNIP1	NA	NA	NA	NA	NA	NA
O93257	XRCC6	NA	NA	NA	NA	NA	NA
Q9FQ02	XRN2	NA	NA	NA	NA	NA	NA
Q86T24	ZBTB33	NA	NA	NA	NA	NA	NA
Q86WB0	ZC3HC1	NA	NA	NA	NA	NA	NA
Q9UPR6	ZFR2	Ocbimv22012607m	13939.6702963784	0.211037273138753	0.127762506111854	0.0565899237064946	0.258005796934264
Q9UBW7	ZMYM2	NA	NA	NA	NA	NA	NA
Q5VUA4	ZNF318	NA	NA	NA	NA	NA	NA
Q9UL40	ZNF346	Ocbimv22015742m	3781.4335577172	-0.312074718058353	0.185814557085525	0.0274635523703639	0.162904994163245
Q14966	ZNF638	NA	NA	NA	NA	NA	NA
