#node1	node2	node1_string_id	node2_string_id	neighborhood_on_chromosome	gene_fusion	phylogenetic_cooccurrence	homology	coexpression	experimentally_determined_interaction	database_annotated	automated_textmining	combined_score
A0A0L8HJX1	A0A0L8GGS1	37653.A0A0L8HJX1	37653.A0A0L8GGS1	0	0	0	0	0.192	0.465	0	0.628	0.825
A0A0L8HJX1	A0A0L8GQR8	37653.A0A0L8HJX1	37653.A0A0L8GQR8	0	0	0	0	0.147	0	0.654	0.099	0.711
A0A0L8HJX1	A0A0L8H7I5	37653.A0A0L8HJX1	37653.A0A0L8H7I5	0	0	0	0	0.143	0.609	0	0.129	0.683
A0A0L8HJX1	A0A0L8HCC9	37653.A0A0L8HJX1	37653.A0A0L8HCC9	0	0	0	0	0.217	0.528	0.884	0.506	0.976
A0A0L8HJX1	A0A0L8HUW5	37653.A0A0L8HJX1	37653.A0A0L8HUW5	0	0	0	0.100	0.241	0	0	0.736	0.736
A0A0L8HUW5	A0A0L8GGS1	37653.A0A0L8HUW5	37653.A0A0L8GGS1	0	0	0	0	0.237	0.782	0.890	0.835	0.997
A0A0L8HUW5	A0A0L8GQR8	37653.A0A0L8HUW5	37653.A0A0L8GQR8	0	0	0	0	0.626	0	0.811	0.214	0.940
A0A0L8HUW5	A0A0L8H7I5	37653.A0A0L8HUW5	37653.A0A0L8H7I5	0	0	0	0	0.217	0.651	0	0.284	0.787
A0A0L8HUW5	A0A0L8HCC9	37653.A0A0L8HUW5	37653.A0A0L8HCC9	0	0	0	0	0.231	0.465	0	0.831	0.924
A0A0L8HUW5	A0A0L8HJX1	37653.A0A0L8HUW5	37653.A0A0L8HJX1	0	0	0	0.100	0.241	0	0	0.736	0.736
A0A0L8HUW5	A0A0L8I5N4	37653.A0A0L8HUW5	37653.A0A0L8I5N4	0	0	0	0	0	0	0	0.456	0.456
A0A0L8HY34	A0A0L8HCC9	37653.A0A0L8HY34	37653.A0A0L8HCC9	0	0	0	0	0.231	0.968	0	0	0.974
A0A0L8I5N4	A0A0L8FK43	37653.A0A0L8I5N4	37653.A0A0L8FK43	0	0	0	0	0	0	0	0.449	0.449
A0A0L8I5N4	A0A0L8GGS1	37653.A0A0L8I5N4	37653.A0A0L8GGS1	0	0	0	0	0	0	0	0.727	0.727
A0A0L8I5N4	A0A0L8HCC9	37653.A0A0L8I5N4	37653.A0A0L8HCC9	0	0	0	0	0	0	0	0.954	0.954
A0A0L8I5N4	A0A0L8HUW5	37653.A0A0L8I5N4	37653.A0A0L8HUW5	0	0	0	0	0	0	0	0.456	0.456
