From	To	Species	Gene Name
Q9Y4L1	10525	Homo sapiens	hypoxia up-regulated 1(HYOU1)
Q9P0U3	29843	Homo sapiens	SUMO1/sentrin specific peptidase 1(SENP1)
P21399	48	Homo sapiens	aconitase 1(ACO1)
Q7Z392	60684	Homo sapiens	trafficking protein particle complex 11(TRAPPC11)
P36578	6124	Homo sapiens	ribosomal protein L4(RPL4)
Q86VR8	24147	Homo sapiens	four jointed box 1(FJX1)
Q9Y3P9	23637	Homo sapiens	RAB GTPase activating protein 1(RABGAP1)
Q8NCE0	80746	Homo sapiens	tRNA splicing endonuclease subunit 2(TSEN2)
Q7Z7H3	375307	Homo sapiens	ciliogenesis associated TTC17 interacting protein(CATIP)
Q86W33	131601	Homo sapiens	transmembrane protein adipocyte associated 1(TPRA1)
P78417	9446	Homo sapiens	glutathione S-transferase omega 1(GSTO1)
P41240	1445	Homo sapiens	c-src tyrosine kinase(CSK)
P50607	7275	Homo sapiens	tubby bipartite transcription factor(TUB)
P43034	5048	Homo sapiens	platelet activating factor acetylhydrolase 1b regulatory subunit 1(PAFAH1B1)
Q49AJ0	51059	Homo sapiens	family with sequence similarity 135 member B(FAM135B)
Q9NZL6	23179	Homo sapiens	ral guanine nucleotide dissociation stimulator like 1(RGL1)
Q92673	6653	Homo sapiens	sortilin related receptor 1(SORL1)
Q9NZL4	23640	Homo sapiens	HSPA (Hsp70) binding protein 1(HSPBP1)
O43290	9092	Homo sapiens	squamous cell carcinoma antigen recognized by T-cells 1(SART1)
P38606	523	Homo sapiens	ATPase H+ transporting V1 subunit A(ATP6V1A)
P16389	3737	Homo sapiens	potassium voltage-gated channel subfamily A member 2(KCNA2)
O43292	8733	Homo sapiens	glycosylphosphatidylinositol anchor attachment 1(GPAA1)
Q6UXK5	57633	Homo sapiens	leucine rich repeat neuronal 1(LRRN1)
Q8WV83	80255	Homo sapiens	solute carrier family 35 member F5(SLC35F5)
Q15075	8411	Homo sapiens	early endosome antigen 1(EEA1)
Q02978	8402	Homo sapiens	solute carrier family 25 member 11(SLC25A11)
Q9UHL4	29952	Homo sapiens	dipeptidyl peptidase 7(DPP7)
Q86VS8	84376	Homo sapiens	hook microtubule tethering protein 3(HOOK3)
P78537	2647	Homo sapiens	biogenesis of lysosomal organelles complex 1 subunit 1(BLOC1S1)
Q5T440	200205	Homo sapiens	IBA57 homolog, iron-sulfur cluster assembly(IBA57)
Q5T447	79654	Homo sapiens	HECT domain E3 ubiquitin protein ligase 3(HECTD3)
P41252	3376	Homo sapiens	isoleucyl-tRNA synthetase(IARS)
P10515	1737	Homo sapiens	dihydrolipoamide S-acetyltransferase(DLAT)
P41250	2617	Homo sapiens	glycyl-tRNA synthetase(GARS)
P42785	5547	Homo sapiens	prolylcarboxypeptidase(PRCP)
Q6YP21	56267	Homo sapiens	kynurenine aminotransferase 3(KYAT3)
P24043	3908	Homo sapiens	laminin subunit alpha 2(LAMA2)
P78536	6868	Homo sapiens	ADAM metallopeptidase domain 17(ADAM17)
P62258	7531	Homo sapiens	tyrosine 3-monooxygenase/tryptophan 5-monooxygenase activation protein epsilon(YWHAE)
O60313	4976	Homo sapiens	OPA1, mitochondrial dynamin like GTPase(OPA1)
Q9NS56	10210	Homo sapiens	TOP1 binding arginine/serine rich protein(TOPORS)
Q96IP4	55603	Homo sapiens	family with sequence similarity 46 member A(FAM46A)
O43772	788	Homo sapiens	solute carrier family 25 member 20(SLC25A20)
P09496	1211	Homo sapiens	clathrin light chain A(CLTA)
P62633	7555	Homo sapiens	CCHC-type zinc finger nucleic acid binding protein(CNBP)
Q7Z7F0	22889	Homo sapiens	KIAA0907(KIAA0907)
P35998	5701	Homo sapiens	proteasome 26S subunit, ATPase 2(PSMC2)
P49281	4891	Homo sapiens	solute carrier family 11 member 2(SLC11A2)
Q5T0D9	127262	Homo sapiens	tumor protein p63 regulated 1 like(TPRG1L)
Q86W56	670	Homo sapiens	biphenyl hydrolase like(BPHL)
Q9ULK4	9439	Homo sapiens	mediator complex subunit 23(MED23)
Q9NS69	56993	Homo sapiens	translocase of outer mitochondrial membrane 22(TOMM22)
O95140	9927	Homo sapiens	mitofusin 2(MFN2)
Q92696	5875	Homo sapiens	Rab geranylgeranyltransferase alpha subunit(RABGGTA)
Q86W50	79066	Homo sapiens	methyltransferase like 16(METTL16)
Q6ZU80	145508	Homo sapiens	centrosomal protein 128(CEP128)
Q12792	5756	Homo sapiens	twinfilin actin binding protein 1(TWF1)
P09874	142	Homo sapiens	poly(ADP-ribose) polymerase 1(PARP1)
O60733	8398	Homo sapiens	phospholipase A2 group VI(PLA2G6)
Q8N3P4	23355	Homo sapiens	VPS8, CORVET complex subunit(VPS8)
Q9NZN3	30845	Homo sapiens	EH domain containing 3(EHD3)
P78563	104	Homo sapiens	adenosine deaminase, RNA specific B1(ADARB1)
Q9NVM4	54496	Homo sapiens	protein arginine methyltransferase 7(PRMT7)
Q5VV42	54901	Homo sapiens	CDK5 regulatory subunit associated protein 1 like 1(CDKAL1)
Q8TDJ6	23312	Homo sapiens	Dmx like 2(DMXL2)
Q12789	2975	Homo sapiens	general transcription factor IIIC subunit 1(GTF3C1)
Q9UHJ3	51460	Homo sapiens	Scm-like with four mbt domains 1(SFMBT1)
Q5M9Q1	222698	Homo sapiens	NFKB activating protein like(NKAPL)
Q6V0I7	79633	Homo sapiens	FAT atypical cadherin 4(FAT4)
