From	To	Species	Gene Name
P27105	2040	Homo sapiens	stomatin(STOM)
Q8TBP0	125058	Homo sapiens	TBC1 domain family member 16(TBC1D16)
Q6UX73	146556	Homo sapiens	chromosome 16 open reading frame 89(C16orf89)
O75179	26057	Homo sapiens	ankyrin repeat domain 17(ANKRD17)
Q6ZN16	389840	Homo sapiens	mitogen-activated protein kinase kinase kinase 15(MAP3K15)
Q6PKC3	51061	Homo sapiens	thioredoxin domain containing 11(TXNDC11)
O95402	9441	Homo sapiens	mediator complex subunit 26(MED26)
Q96D71	85021	Homo sapiens	RALBP1 associated Eps domain containing 1(REPS1)
O15234	22794	Homo sapiens	cancer susceptibility candidate 3(CASC3)
O75439	9512	Homo sapiens	peptidase, mitochondrial processing beta subunit(PMPCB)
Q9HCE0	57724	Homo sapiens	ectopic P-granules autophagy protein 5 homolog(EPG5)
Q86XI6	79660	Homo sapiens	protein phosphatase 1 regulatory subunit 3B(PPP1R3B)
P68400	1457	Homo sapiens	casein kinase 2 alpha 1(CSNK2A1)
Q9HCE9	57719	Homo sapiens	anoctamin 8(ANO8)
Q9H4P4	10193	Homo sapiens	ring finger protein 41(RNF41)
Q5T5C0	134957	Homo sapiens	syntaxin binding protein 5(STXBP5)
P08670	7431	Homo sapiens	vimentin(VIM)
O15050	9881	Homo sapiens	tetratricopeptide repeat and ankyrin repeat containing 1(TRANK1)
O95714	8924	Homo sapiens	HECT and RLD domain containing E3 ubiquitin protein ligase 2(HERC2)
Q9Y2B2	9487	Homo sapiens	phosphatidylinositol glycan anchor biosynthesis class L(PIGL)
Q05086	7337	Homo sapiens	ubiquitin protein ligase E3A(UBE3A)
Q9Y6D5	10564	Homo sapiens	ADP ribosylation factor guanine nucleotide exchange factor 2(ARFGEF2)
Q8IX06	254958	Homo sapiens	REX1, RNA exonuclease 1 homolog-like 1, pseudogene(REXO1L1P)
Q96Q42	57679	Homo sapiens	ALS2, alsin Rho guanine nucleotide exchange factor(ALS2)
P13639	1938	Homo sapiens	eukaryotic translation elongation factor 2(EEF2)
Q9HCF6	80036	Homo sapiens	transient receptor potential cation channel subfamily M member 3(TRPM3)
Q8NBR6	54629	Homo sapiens	family with sequence similarity 63 member B(FAM63B)
Q9Y4D2	747	Homo sapiens	diacylglycerol lipase alpha(DAGLA)
Q9Y4D1	23002	Homo sapiens	dishevelled associated activator of morphogenesis 1(DAAM1)
Q8NAN2	374986	Homo sapiens	mitoguardin 1(MIGA1)
Q9Y2A7	10787	Homo sapiens	NCK associated protein 1(NCKAP1)
Q14186	7027	Homo sapiens	transcription factor Dp-1(TFDP1)
Q9UPN3	23499	Homo sapiens	microtubule-actin crosslinking factor 1(MACF1)
Q9UPN6	22828	Homo sapiens	SR-related CTD associated factor 8(SCAF8)
Q9H1A3	51108	Homo sapiens	methyltransferase like 9(METTL9)
Q8NDL9	60509	Homo sapiens	ATP/GTP binding protein like 5(AGBL5)
Q12837	5458	Homo sapiens	POU class 4 homeobox 2(POU4F2)
Q14997	23198	Homo sapiens	proteasome activator subunit 4(PSME4)
O60294	9836	Homo sapiens	leucine carboxyl methyltransferase 2(LCMT2)
Q8IZQ1	23001	Homo sapiens	WD repeat and FYVE domain containing 3(WDFY3)
P51532	6597	Homo sapiens	SWI/SNF related, matrix associated, actin dependent regulator of chromatin, subfamily a, member 4(SMARCA4)
Q96I51	81554	Homo sapiens	RCC1 like(RCC1L)
Q7Z4N2	4308	Homo sapiens	transient receptor potential cation channel subfamily M member 1(TRPM1)
Q86YJ7	124930	Homo sapiens	ankyrin repeat domain 13B(ANKRD13B)
P12270	7175	Homo sapiens	translocated promoter region, nuclear basket protein(TPR)
Q9UIV1	29883	Homo sapiens	CCR4-NOT transcription complex subunit 7(CNOT7)
Q9P1Z3	57657	Homo sapiens	hyperpolarization activated cyclic nucleotide gated potassium channel 3(HCN3)
O43313	23300	Homo sapiens	ATM interactor(ATMIN)
Q6ZVD7	219736	Homo sapiens	storkhead box 1(STOX1)
Q9Y2D1	22809	Homo sapiens	activating transcription factor 5(ATF5)
Q7Z3J2	57020	Homo sapiens	chromosome 16 open reading frame 62(C16orf62)
P06400	5925	Homo sapiens	RB transcriptional corepressor 1(RB1)
Q9NUQ9	51571	Homo sapiens	family with sequence similarity 49 member B(FAM49B)
Q9H6R7	80304	Homo sapiens	WD repeat and coiled coil containing(WDCP)
O95905	11319	Homo sapiens	ecdysoneless cell cycle regulator(ECD)
Q92878	10111	Homo sapiens	RAD50 double strand break repair protein(RAD50)
P22626	3181	Homo sapiens	heterogeneous nuclear ribonucleoprotein A2/B1(HNRNPA2B1)
P30532	1138	Homo sapiens	cholinergic receptor nicotinic alpha 5 subunit(CHRNA5)
Q9Y4J8	1837	Homo sapiens	dystrobrevin alpha(DTNA)
Q96LA8	55170	Homo sapiens	protein arginine methyltransferase 6(PRMT6)
Q9BT67	80762	Homo sapiens	Nedd4 family interacting protein 1(NDFIP1)
Q93008	8239	Homo sapiens	ubiquitin specific peptidase 9, X-linked(USP9X)
Q92870	323	Homo sapiens	amyloid beta precursor protein binding family B member 2(APBB2)
Q9NRA2	26503	Homo sapiens	solute carrier family 17 member 5(SLC17A5)
Q92736	6262	Homo sapiens	ryanodine receptor 2(RYR2)
P51523	7637	Homo sapiens	zinc finger protein 84(ZNF84)
P52306	5910	Homo sapiens	Rap1 GTPase-GDP dissociation stimulator 1(RAP1GDS1)
Q06136	2531	Homo sapiens	3-ketodihydrosphingosine reductase(KDSR)
P33402	2977	Homo sapiens	guanylate cyclase 1 soluble subunit alpha 2(GUCY1A2)
P53041	5536	Homo sapiens	protein phosphatase 5 catalytic subunit(PPP5C)
Q13003	2899	Homo sapiens	glutamate ionotropic receptor kainate type subunit 3(GRIK3)
Q8WWQ8	55576	Homo sapiens	stabilin 2(STAB2)
Q9NU22	23195	Homo sapiens	midasin AAA ATPase 1(MDN1)
Q5TGI4	389432	Homo sapiens	sterile alpha motif domain containing 5(SAMD5)
Q16537	5529	Homo sapiens	protein phosphatase 2 regulatory subunit B'epsilon(PPP2R5E)
O60488	2182	Homo sapiens	acyl-CoA synthetase long-chain family member 4(ACSL4)
Q92609	9779	Homo sapiens	TBC1 domain family member 5(TBC1D5)
Q9H172	64137	Homo sapiens	ATP binding cassette subfamily G member 4(ABCG4)
Q9C0H5	80728	Homo sapiens	Rho GTPase activating protein 39(ARHGAP39)
Q9BTX7	79183	Homo sapiens	alpha tocopherol transfer protein like(TTPAL)
Q9UPP5	23285	Homo sapiens	KIAA1107(KIAA1107)
O60271	9043	Homo sapiens	sperm associated antigen 9(SPAG9)
Q7Z7M0	1954	Homo sapiens	multiple EGF like domains 8(MEGF8)
Q96NW4	84079	Homo sapiens	ankyrin repeat domain 27(ANKRD27)
Q13017	394	Homo sapiens	Rho GTPase activating protein 5(ARHGAP5)
Q6UN15	81608	Homo sapiens	factor interacting with PAPOLA and CPSF1(FIP1L1)
Q02742	2650	Homo sapiens	glucosaminyl (N-acetyl) transferase 1, core 2(GCNT1)
Q2VWA4	652991	Homo sapiens	SKI family transcriptional corepressor 2(SKOR2)
Q7Z4L5	79809	Homo sapiens	tetratricopeptide repeat domain 21B(TTC21B)
Q6IQ55	146057	Homo sapiens	tau tubulin kinase 2(TTBK2)
O60268	9764	Homo sapiens	KIAA0513(KIAA0513)
A8MZA4	727832	Homo sapiens	golgin A6 family-like 6(GOLGA6L6)
Q96HU8	54769	Homo sapiens	DIRAS family GTPase 2(DIRAS2)
P54289	781	Homo sapiens	calcium voltage-gated channel auxiliary subunit alpha2delta 1(CACNA2D1)
Q8IWB9	55852	Homo sapiens	testis expressed 2(TEX2)
Q15276	9135	Homo sapiens	rabaptin, RAB GTPase binding effector protein 1(RABEP1)
Q96S79	91608	Homo sapiens	RAS like family 10 member B(RASL10B)
Q96HU1	27352	Homo sapiens	small G protein signaling modulator 3(SGSM3)
Q9UPU5	23358	Homo sapiens	ubiquitin specific peptidase 24(USP24)
O75604	9099	Homo sapiens	ubiquitin specific peptidase 2(USP2)
Q12840	3798	Homo sapiens	kinesin family member 5A(KIF5A)
Q5QP82	79269	Homo sapiens	DDB1 and CUL4 associated factor 10(DCAF10)
Q13033	29966	Homo sapiens	striatin 3(STRN3)
Q7Z5L2	27291	Homo sapiens	R3H domain and coiled-coil containing 1 like(R3HCC1L)
Q9UIW2	5361	Homo sapiens	plexin A1(PLXNA1)
Q96PX1	114804	Homo sapiens	ring finger protein 157(RNF157)
Q86TV6	145567	Homo sapiens	tetratricopeptide repeat domain 7B(TTC7B)
Q16658	6624	Homo sapiens	fascin actin-bundling protein 1(FSCN1)
Q9BVA1	347733	Homo sapiens	tubulin beta 2B class IIb(TUBB2B)
Q2KHT3	23274	Homo sapiens	C-type lectin domain family 16 member A(CLEC16A)
O75400	55660	Homo sapiens	pre-mRNA processing factor 40 homolog A(PRPF40A)
P03952	3818	Homo sapiens	kallikrein B1(KLKB1)
Q7Z6L1	25851	Homo sapiens	tectonin beta-propeller repeat containing 1(TECPR1)
P12821	1636	Homo sapiens	angiotensin I converting enzyme(ACE)
Q9UJ83	26061	Homo sapiens	2-hydroxyacyl-CoA lyase 1(HACL1)
Q6TFL3	203238	Homo sapiens	coiled-coil domain containing 171(CCDC171)
Q5VYK3	23392	Homo sapiens	KIAA0368(KIAA0368)
Q9UKZ4	10178	Homo sapiens	teneurin transmembrane protein 1(TENM1)
Q9Y2H9	22983	Homo sapiens	microtubule associated serine/threonine kinase 1(MAST1)
O60256	5636	Homo sapiens	phosphoribosyl pyrophosphate synthetase associated protein 2(PRPSAP2)
Q6P3W7	55681	Homo sapiens	SCY1 like pseudokinase 2(SCYL2)
Q9H3E2	83891	Homo sapiens	sorting nexin 25(SNX25)
Q9P273	55714	Homo sapiens	teneurin transmembrane protein 3(TENM3)
Q00537	5128	Homo sapiens	cyclin dependent kinase 17(CDK17)
P28827	5797	Homo sapiens	protein tyrosine phosphatase, receptor type M(PTPRM)
Q15386	9690	Homo sapiens	ubiquitin protein ligase E3C(UBE3C)
P36544	1139	Homo sapiens	cholinergic receptor nicotinic alpha 7 subunit(CHRNA7)
Q4V328	56850	Homo sapiens	GRIP1 associated protein 1(GRIPAP1)
P49848	6878	Homo sapiens	TATA-box binding protein associated factor 6(TAF6)
Q9NVU0	55718	Homo sapiens	RNA polymerase III subunit E(POLR3E)
P68363	10376	Homo sapiens	tubulin alpha 1b(TUBA1B)
Q9BTU6	55361	Homo sapiens	phosphatidylinositol 4-kinase type 2 alpha(PI4K2A)
Q9UBC2	58513	Homo sapiens	epidermal growth factor receptor pathway substrate 15 like 1(EPS15L1)
O95948	9480	Homo sapiens	one cut homeobox 2(ONECUT2)
P21281	526	Homo sapiens	ATPase H+ transporting V1 subunit B2(ATP6V1B2)
Q92832	4745	Homo sapiens	neural EGFL like 1(NELL1)
Q96S52	94005	Homo sapiens	phosphatidylinositol glycan anchor biosynthesis class S(PIGS)
Q96G01	636	Homo sapiens	BICD cargo adaptor 1(BICD1)
Q70CQ3	84749	Homo sapiens	ubiquitin specific peptidase 30(USP30)
Q8N9F7	284161	Homo sapiens	glycerophosphodiester phosphodiesterase domain containing 1(GDPD1)
P42694	9931	Homo sapiens	helicase with zinc finger(HELZ)
Q8TDI0	26038	Homo sapiens	chromodomain helicase DNA binding protein 5(CHD5)
Q8WVM7	10274	Homo sapiens	stromal antigen 1(STAG1)
Q9HCL0	54510	Homo sapiens	protocadherin 18(PCDH18)
Q9NW68	55108	Homo sapiens	BSD domain containing 1(BSDC1)
Q96IR7	84842	Homo sapiens	4-hydroxyphenylpyruvate dioxygenase like(HPDL)
Q9UJX4	51433	Homo sapiens	anaphase promoting complex subunit 5(ANAPC5)
Q68CP9	196528	Homo sapiens	AT-rich interaction domain 2(ARID2)
Q8IXJ6	22933	Homo sapiens	sirtuin 2(SIRT2)
Q8IWE4	123879	Homo sapiens	defective in cullin neddylation 1 domain containing 3(DCUN1D3)
Q9BTT6	55227	Homo sapiens	leucine rich repeat containing 1(LRRC1)
O75534	7812	Homo sapiens	cold shock domain containing E1(CSDE1)
Q9BYD2	65005	Homo sapiens	mitochondrial ribosomal protein L9(MRPL9)
Q92845	22920	Homo sapiens	kinesin associated protein 3(KIFAP3)
P50750	1025	Homo sapiens	cyclin dependent kinase 9(CDK9)
O43679	9079	Homo sapiens	LIM domain binding 2(LDB2)
Q7Z418	338567	Homo sapiens	potassium two pore domain channel subfamily K member 18(KCNK18)
Q9BWD1	39	Homo sapiens	acetyl-CoA acetyltransferase 2(ACAT2)
P29375	5927	Homo sapiens	lysine demethylase 5A(KDM5A)
Q9HCM2	91584	Homo sapiens	plexin A4(PLXNA4)
Q8NBJ4	51280	Homo sapiens	golgi membrane protein 1(GOLM1)
Q16891	10989	Homo sapiens	inner membrane mitochondrial protein(IMMT)
Q6ZWE6	389072	Homo sapiens	pleckstrin homology domain containing M3(PLEKHM3)
Q86VZ4	84918	Homo sapiens	LDL receptor related protein 11(LRP11)
Q8IWF2	80020	Homo sapiens	FAD dependent oxidoreductase domain containing 2(FOXRED2)
A7KAX9	9743	Homo sapiens	Rho GTPase activating protein 32(ARHGAP32)
Q13368	4356	Homo sapiens	membrane palmitoylated protein 3(MPP3)
Q6RI45	254065	Homo sapiens	bromodomain and WD repeat domain containing 3(BRWD3)
Q9NWW7	54980	Homo sapiens	chromosome 2 open reading frame 42(C2orf42)
Q9Y2I7	200576	Homo sapiens	phosphoinositide kinase, FYVE-type zinc finger containing(PIKFYVE)
Q9Y2I1	11188	Homo sapiens	nischarin(NISCH)
Q13485	4089	Homo sapiens	SMAD family member 4(SMAD4)
Q13371	5082	Homo sapiens	phosducin like(PDCL)
Q9H857	64943	Homo sapiens	5'-nucleotidase domain containing 2(NT5DC2)
Q9BQS8	79443	Homo sapiens	FYVE and coiled-coil domain containing 1(FYCO1)
Q7Z392	60684	Homo sapiens	trafficking protein particle complex 11(TRAPPC11)
O60502	10724	Homo sapiens	meningioma expressed antigen 5 (hyaluronidase)(MGEA5)
Q9Y3P9	23637	Homo sapiens	RAB GTPase activating protein 1(RABGAP1)
Q96BD0	28231	Homo sapiens	solute carrier organic anion transporter family member 4A1(SLCO4A1)
P78316	8602	Homo sapiens	NOP14 nucleolar protein(NOP14)
A6NEE1	400224	Homo sapiens	pleckstrin homology and coiled-coil domain containing D1(PLEKHD1)
Q5T0B9	149076	Homo sapiens	zinc finger protein 362(ZNF362)
Q8WU90	55854	Homo sapiens	zinc finger CCCH-type containing 15(ZC3H15)
Q9H7Z7	80142	Homo sapiens	prostaglandin E synthase 2(PTGES2)
Q9Y2L5	22878	Homo sapiens	trafficking protein particle complex 8(TRAPPC8)
O95260	11101	Homo sapiens	arginyltransferase 1(ATE1)
Q92673	6653	Homo sapiens	sortilin related receptor 1(SORL1)
Q14703	8720	Homo sapiens	membrane bound transcription factor peptidase, site 1(MBTPS1)
Q9NQW7	7511	Homo sapiens	X-prolyl aminopeptidase 1(XPNPEP1)
O76054	23541	Homo sapiens	SEC14 like lipid binding 2(SEC14L2)
Q8N584	125488	Homo sapiens	tetratricopeptide repeat domain 39C(TTC39C)
Q8TEQ0	92017	Homo sapiens	sorting nexin 29(SNX29)
Q6UXK5	57633	Homo sapiens	leucine rich repeat neuronal 1(LRRN1)
Q8WV83	80255	Homo sapiens	solute carrier family 35 member F5(SLC35F5)
Q38SD2	79705	Homo sapiens	leucine rich repeat kinase 1(LRRK1)
Q8TEQ6	25929	Homo sapiens	gem nuclear organelle associated protein 5(GEMIN5)
O60504	10174	Homo sapiens	sorbin and SH3 domain containing 3(SORBS3)
Q5T440	200205	Homo sapiens	IBA57 homolog, iron-sulfur cluster assembly(IBA57)
Q9C0D3	79699	Homo sapiens	zyg-11 family member B, cell cycle regulator(ZYG11B)
Q7RTP6	57553	Homo sapiens	microtubule associated monooxygenase, calponin and LIM domain containing 3(MICAL3)
Q5VVW2	84253	Homo sapiens	GTPase activating Rap/RanGAP domain like 3(GARNL3)
Q5T4S7	23352	Homo sapiens	ubiquitin protein ligase E3 component n-recognin 4(UBR4)
Q6UVK1	1464	Homo sapiens	chondroitin sulfate proteoglycan 4(CSPG4)
Q9UL68	23040	Homo sapiens	myelin transcription factor 1 like(MYT1L)
Q9Y5W8	23161	Homo sapiens	sorting nexin 13(SNX13)
Q9UBF2	26958	Homo sapiens	coatomer protein complex subunit gamma 2(COPG2)
P55209	4673	Homo sapiens	nucleosome assembly protein 1 like 1(NAP1L1)
Q9BZH6	55717	Homo sapiens	WD repeat domain 11(WDR11)
O00418	29904	Homo sapiens	eukaryotic elongation factor 2 kinase(EEF2K)
Q9NX52	54933	Homo sapiens	rhomboid like 2(RHBDL2)
Q9NUL3	27067	Homo sapiens	staufen double-stranded RNA binding protein 2(STAU2)
P06276	590	Homo sapiens	butyrylcholinesterase(BCHE)
Q7Z569	8315	Homo sapiens	BRCA1 associated protein(BRAP)
P62837	7322	Homo sapiens	ubiquitin conjugating enzyme E2 D2(UBE2D2)
O60522	221400	Homo sapiens	tudor domain containing 6(TDRD6)
O95140	9927	Homo sapiens	mitofusin 2(MFN2)
Q86W50	79066	Homo sapiens	methyltransferase like 16(METTL16)
P09874	142	Homo sapiens	poly(ADP-ribose) polymerase 1(PARP1)
O95243	8930	Homo sapiens	methyl-CpG binding domain 4, DNA glycosylase(MBD4)
Q9NZN3	30845	Homo sapiens	EH domain containing 3(EHD3)
Q5VV42	54901	Homo sapiens	CDK5 regulatory subunit associated protein 1 like 1(CDKAL1)
Q8TF42	84959	Homo sapiens	ubiquitin associated and SH3 domain containing B(UBASH3B)
P42858	3064	Homo sapiens	huntingtin(HTT)
Q9UNS2	8533	Homo sapiens	COP9 signalosome subunit 3(COPS3)
Q12789	2975	Homo sapiens	general transcription factor IIIC subunit 1(GTF3C1)
Q9P2Q2	55691	Homo sapiens	FERM domain containing 4A(FRMD4A)
Q8WU67	171586	Homo sapiens	abhydrolase domain containing 3(ABHD3)
Q9UHJ9	27315	Homo sapiens	post-GPI attachment to proteins 2(PGAP2)
Q86Y56	54919	Homo sapiens	dynein axonemal assembly factor 5(DNAAF5)
Q8TF47	146198	Homo sapiens	ZFP90 zinc finger protein(ZFP90)
Q96PE3	3631	Homo sapiens	inositol polyphosphate-4-phosphatase type I A(INPP4A)
Q6P1R4	64118	Homo sapiens	dihydrouridine synthase 1 like(DUS1L)
Q9C0H2	80727	Homo sapiens	tweety family member 3(TTYH3)
Q9BZ29	23348	Homo sapiens	dedicator of cytokinesis 9(DOCK9)
Q9Y570	51400	Homo sapiens	protein phosphatase methylesterase 1(PPME1)
Q9ULJ7	57182	Homo sapiens	ankyrin repeat domain 50(ANKRD50)
Q9H492	84557	Homo sapiens	microtubule associated protein 1 light chain 3 alpha(MAP1LC3A)
Q5XKL5	284697	Homo sapiens	BTB domain containing 8(BTBD8)
P19174	5335	Homo sapiens	phospholipase C gamma 1(PLCG1)
Q96B02	55284	Homo sapiens	ubiquitin conjugating enzyme E2 W (putative)(UBE2W)
Q13085	31	Homo sapiens	acetyl-CoA carboxylase alpha(ACACA)
Q9Y663	9955	Homo sapiens	heparan sulfate-glucosamine 3-sulfotransferase 3A1(HS3ST3A1)
Q96T23	51773	Homo sapiens	remodeling and spacing factor 1(RSF1)
O76064	9025	Homo sapiens	ring finger protein 8(RNF8)
Q8N1I0	9732	Homo sapiens	dedicator of cytokinesis 4(DOCK4)
Q96HN2	23382	Homo sapiens	adenosylhomocysteinase like 2(AHCYL2)
Q8IZW8	84951	Homo sapiens	tensin 4(TNS4)
Q53F39	65258	Homo sapiens	metallophosphoesterase 1(MPPE1)
O60336	23005	Homo sapiens	mitogen-activated protein kinase binding protein 1(MAPKBP1)
Q96SQ7	84913	Homo sapiens	atonal bHLH transcription factor 8(ATOH8)
Q6PGP7	9652	Homo sapiens	tetratricopeptide repeat domain 37(TTC37)
Q8IYT8	9706	Homo sapiens	unc-51 like autophagy activating kinase 2(ULK2)
P23468	5789	Homo sapiens	protein tyrosine phosphatase, receptor type D(PTPRD)
Q01973	4919	Homo sapiens	receptor tyrosine kinase like orphan receptor 1(ROR1)
Q659A1	79664	Homo sapiens	interactor of little elongation complex ELL subunit 2(ICE2)
Q9HBT7	57336	Homo sapiens	zinc finger protein 287(ZNF287)
P08133	309	Homo sapiens	annexin A6(ANXA6)
Q9UEW3	8685	Homo sapiens	macrophage receptor with collagenous structure(MARCO)
Q96RG2	23178	Homo sapiens	PAS domain containing serine/threonine kinase(PASK)
Q9BX10	54676	Homo sapiens	GTP binding protein 2(GTPBP2)
Q6ZT12	130507	Homo sapiens	ubiquitin protein ligase E3 component n-recognin 3 (putative)(UBR3)
Q9NS86	55915	Homo sapiens	LanC like 2(LANCL2)
Q15032	23518	Homo sapiens	R3H domain containing 1(R3HDM1)
P10253	2548	Homo sapiens	glucosidase alpha, acid(GAA)
Q9UNQ0	9429	Homo sapiens	ATP binding cassette subfamily G member 2 (Junior blood group)(ABCG2)
