Category	Term	Count	%	PValue	Genes	List Total	Pop Hits	Pop Total	Fold Enrichment	Bonferroni	Benjamini	FDR
UP_KW_BIOLOGICAL_PROCESS	KW-0130~Cell adhesion	21	3.684210526315789	0.003911802222847565	9378, 25, 8642, 10174, 56098, 22883, 56132, 56121, 2195, 56105, 27253, 56106, 56111, 1499, 54510, 5797, 55714, 10893, 64072, 2319, 3636	308	119	3423	1.961229946524064	0.3189423943585541	0.1264816052054046	0.1264816052054046
UP_KW_DOMAIN	KW-0040~ANK repeat	19	3.3333333333333335	0.004487088168636343	9881, 26115, 25998, 57182, 57534, 1612, 57524, 23390, 287, 288, 124930, 26057, 602, 142689, 142678, 9815, 84079, 79705, 55608	359	96	3673	2.024924558960074	0.11034970415051826	0.058332146192272456	0.056088602107954286
UP_KW_MOLECULAR_FUNCTION	KW-0645~Protease	28	4.912280701754386	0.00499901600614894	9960, 9101, 60509, 3416, 114294, 2028, 3818, 79831, 10893, 85015, 4326, 54858, 1636, 8720, 7511, 9512, 55230, 9099, 84749, 23358, 121665, 2678, 63929, 23173, 23473, 90701, 8239, 1889	308	180	3402	1.7181818181818183	0.29234397879034224	0.11497736814142562	0.11331102947270931
UP_KW_CELLULAR_COMPONENT	KW-0968~Cytoplasmic vesicle	37	6.491228070175438	0.0051261007446599316	26958, 5066, 4077, 64137, 6653, 57221, 55681, 9043, 3064, 55361, 134957, 23385, 55626, 9779, 9135, 3092, 22905, 4641, 25851, 200734, 26503, 2040, 200576, 29979, 79443, 23390, 120892, 23230, 11276, 526, 9922, 84079, 10564, 6857, 55717, 9706, 8618	434	260	4819	1.5801400212690535	0.1982746801127484	0.055105583005094265	0.05126100744659932
UP_KW_DOMAIN	KW-0175~Coiled coil	110	19.298245614035086	0.012153648938821659	9101, 8897, 6597, 7204, 56252, 23049, 55681, 91010, 23040, 201163, 11188, 636, 8924, 7175, 3092, 23215, 55210, 55854, 124930, 51773, 400224, 9748, 10144, 9881, 4077, 8315, 10193, 203238, 55227, 23263, 83891, 10111, 91949, 54938, 26093, 9135, 6262, 9810, 63893, 4089, 130507, 9371, 142, 57534, 27352, 9922, 85021, 9927, 128553, 10051, 9821, 4771, 4651, 7248, 23002, 22794, 134957, 51280, 1778, 10579, 58513, 55761, 6709, 56850, 84364, 9815, 10061, 92017, 29117, 23499, 7094, 79443, 80036, 29110, 324, 10902, 57553, 120892, 23131, 11276, 84872, 27291, 5361, 65981, 25929, 4673, 29966, 9043, 23347, 23348, 51061, 55660, 57724, 57169, 54971, 26057, 10274, 23637, 4163, 91584, 9855, 146057, 55275, 2137, 23195, 54862, 23230, 389840, 3508, 5924	359	930	3673	1.2101416719082276	0.2723468740322199	0.10533162413645437	0.10128040782351383
UP_KW_CELLULAR_COMPONENT	KW-0967~Endosome	33	5.7894736842105265	0.012371038327537113	9101, 64137, 9743, 6653, 55681, 3064, 55361, 57182, 23327, 80762, 23161, 56850, 83891, 11188, 142678, 3631, 9779, 9135, 9392, 200576, 57732, 79443, 287, 55275, 323, 124930, 23274, 120892, 23230, 747, 84079, 10564, 2319	434	238	4819	1.539586802462921	0.41449025682031915	0.09349387079187362	0.08697104259709174
UP_KW_CELLULAR_COMPONENT	KW-0966~Cell projection	52	9.12280701754386	0.013045656389563759	4131, 4771, 7204, 4651, 9743, 26115, 23001, 23002, 22794, 55361, 1778, 80762, 1499, 56850, 201163, 5335, 6624, 3636, 23499, 22883, 7094, 288, 324, 57553, 1464, 23098, 120892, 10787, 79809, 22933, 8394, 57282, 8882, 9378, 4163, 8001, 8567, 4641, 80208, 146057, 9371, 81544, 23390, 4919, 84455, 23077, 55714, 8239, 747, 3508, 10564, 55717	434	419	4819	1.378023162456144	0.43144341076037285	0.09349387079187362	0.08697104259709174
UP_KW_DISEASE	KW-0991~Intellectual disability	43	7.5438596491228065	0.013377578194118573	9487, 9320, 6597, 10075, 7204, 6477, 26115, 3064, 8450, 22930, 1778, 10659, 1457, 23040, 6709, 1499, 54676, 26057, 84842, 8924, 10274, 5832, 347733, 8925, 9378, 9354, 8567, 8642, 27315, 254065, 2182, 288, 2678, 55275, 2137, 26100, 10847, 54862, 196528, 9922, 6878, 8239, 79809	156	353	1782	1.3914796251906736	0.5776594511217801	0.8561650044235887	0.8561650044235887
UP_KW_CELLULAR_COMPONENT	KW-0963~Cytoplasm	203	35.6140350877193	0.019989830040539315	5144, 8897, 7204, 9743, 6477, 8533, 23167, 23049, 10659, 54472, 201163, 11188, 3631, 51646, 3636, 3092, 389072, 23178, 23173, 55576, 9748, 5824, 25, 4077, 8315, 10075, 57524, 3416, 85439, 23382, 55227, 57521, 23263, 27067, 7337, 142678, 4745, 31, 84461, 9652, 8567, 63893, 4089, 39, 4641, 9099, 2218, 57534, 6259, 51433, 55915, 8575, 6397, 47, 10051, 5189, 4771, 4651, 7248, 10174, 23001, 23002, 23005, 394, 3316, 6709, 1499, 145567, 84364, 11022, 1939, 1938, 389432, 23499, 287, 55255, 288, 29110, 1025, 57553, 11276, 602, 64080, 58528, 22933, 65981, 4673, 9567, 7027, 22930, 26057, 22809, 7812, 10397, 347733, 54858, 219736, 64786, 80208, 81544, 80333, 54862, 23352, 8239, 6857, 55717, 5529, 26958, 6198, 9101, 23321, 60509, 57221, 84959, 91010, 23327, 1612, 51126, 8924, 85015, 10376, 759, 5536, 6624, 8925, 7175, 9354, 23210, 25998, 23215, 2040, 55854, 526, 79809, 284161, 8396, 23541, 8394, 55860, 29883, 8945, 55626, 80142, 1636, 9135, 22905, 7511, 56165, 9371, 10129, 2977, 27352, 63929, 9922, 79705, 309, 4131, 9821, 221400, 22794, 2194, 134957, 1778, 10579, 55761, 84886, 5458, 5218, 8727, 4141, 9392, 7094, 324, 23098, 1783, 3181, 114804, 25929, 29966, 28996, 9043, 3064, 57724, 57169, 5359, 6449, 5910, 123879, 8882, 23637, 4163, 200734, 146057, 79066, 29979, 57732, 23195, 652991, 23077, 23198, 10564, 3508, 5924	434	2018	4819	1.1169714504939414	0.5803231145134747	0.12279467024902722	0.11422760023165324
UP_KW_MOLECULAR_FUNCTION	KW-0378~Hydrolase	73	12.80701754385965	0.028179866856624207	9101, 5144, 8897, 6597, 8930, 26038, 60509, 590, 84959, 2194, 2548, 2028, 26275, 51005, 5335, 3631, 51400, 10893, 85015, 5536, 4326, 91608, 3636, 128387, 9512, 65258, 63874, 84749, 121665, 2678, 23173, 23098, 120892, 90701, 5789, 58528, 9487, 9960, 284161, 23347, 1118, 3416, 114294, 23382, 3818, 79831, 29883, 5797, 56916, 5359, 10111, 54858, 1636, 64421, 9931, 4122, 8720, 7511, 64943, 55230, 9099, 23358, 81544, 63929, 171586, 10847, 23473, 1807, 8239, 747, 3508, 9927, 1889	308	651	3402	1.2385839966485128	0.8608681521513258	0.4861027032767676	0.4790577365626115
UP_KW_DISEASE	KW-0043~Tumor suppressor	14	2.456140350877193	0.033939675550467355	4163, 9821, 4771, 7248, 26038, 29117, 114294, 23390, 57569, 324, 201163, 54971, 55626, 5925	156	87	1782	1.8381962864721486	0.8902835467763812	1.0	1.0
UP_KW_MOLECULAR_FUNCTION	KW-0031~Aminopeptidase	5	0.8771929824561403	0.04956335321240277	63929, 2028, 23173, 79831, 7511	308	16	3402	3.451704545454545	0.970029156501456	0.5737580916403003	0.5654427569788468
UP_KW_MOLECULAR_FUNCTION	KW-0112~Calmodulin-binding	10	1.7543859649122806	0.04989200796872177	6262, 1612, 6709, 4651, 4641, 23352, 29966, 29904, 5924, 1636	308	54	3402	2.0454545454545454	0.9707359104357448	0.5737580916403003	0.5654427569788468
UP_KW_DOMAIN	KW-0728~SH3 domain	13	2.280701754385965	0.061730286837896775	25, 7204, 10174, 9743, 23499, 84959, 57524, 27352, 54440, 783, 6709, 23263, 5335	359	76	3673	1.750073303034746	0.8092255800311433	0.40124686444632907	0.38581429273685486
UP_KW_DISEASE	KW-0523~Neurodegeneration	25	4.385964912280701	0.0782842882499783	22933, 6653, 200205, 23321, 3064, 1778, 84842, 5832, 1938, 10397, 5536, 3092, 4141, 9512, 80208, 146057, 57679, 29110, 55275, 120892, 23230, 747, 3508, 9927, 85021	156	207	1782	1.379598662207358	0.9945774021205156	1.0	1.0
UP_KW_CELLULAR_COMPONENT	KW-0458~Lysosome	20	3.508771929824561	0.08570455643117762	4074, 4077, 9821, 25851, 9043, 26503, 56270, 79443, 2548, 1118, 287, 288, 57724, 201163, 23274, 57521, 120892, 23230, 84079, 58528	434	152	4819	1.461011399466408	0.9787811479698586	0.4605624606494546	0.42843019595298104
UP_KW_DISEASE	KW-0144~Charcot-Marie-Tooth disease	7	1.2280701754385965	0.0861835695201657	1778, 4141, 80208, 23321, 10397, 3508, 9927	156	36	1782	2.221153846153846	0.9968741106866701	1.0	1.0
UP_KW_MOLECULAR_FUNCTION	KW-0788~Thiol protease	10	1.7543859649122806	0.08662835437679839	9960, 9101, 23473, 85015, 8239, 55230, 9099, 84749, 23358, 54858	308	60	3402	1.8409090909090908	0.9980738981311245	0.8107134171615742	0.7989639473476383
UP_KW_BIOLOGICAL_PROCESS	KW-0879~Wnt signaling pathway	11	1.9298245614035088	0.09211258704159254	1457, 4163, 1499, 324, 4919, 8945, 6259, 23002, 23499, 29117, 5218	308	70	3423	1.7464285714285712	0.9999228855946928	1.0	1.0
UP_KW_MOLECULAR_FUNCTION	KW-0482~Metalloprotease	10	1.7543859649122806	0.09399575851148687	3416, 63929, 2028, 7511, 9512, 10893, 4326, 60509, 1889, 1636	308	61	3402	1.810730253353204	0.9988984963810877	0.8107134171615742	0.7989639473476383
UP_KW_BIOLOGICAL_PROCESS	KW-0254~Endocytosis	10	1.7543859649122806	0.09880539359746797	9135, 58513, 3092, 287, 25, 85439, 22905, 55576, 6653, 11276	308	62	3423	1.792521994134897	0.9999626559672217	1.0	1.0
